Rank,Player,Age,GP,MIN,ORTG,DRTG,NRTG,USG%,TS%,eFG%,,,,
150,"ジョシュ・ハレルソン
佐賀 - C/PF",37,30,650.4,109.67,108.93,0.75,16.51%,48.30%,47.96%,65.82%,9.18%,2.48,14.57%
151,"坂本 聖芽
大阪 - PG/SG",26,39,649.7,112.28,113.99,-1.71,14.46%,48.40%,46.55%,44.14%,17.24%,2.19,27.61%
152,"久保田 義章
三河 - PG",28,33,649.2,117.37,107.26,10.11,21.77%,54.57%,50.68%,51.82%,25.45%,3.15,36.81%
153,"アイザイア・マーフィー
名古屋D - PG/SG",28,36,648.0,109.77,98.29,11.49,13.64%,50.28%,47.94%,62.94%,14.71%,2.13,9.68%
154,"テレンス・ウッドベリー
群馬 - SF/PF",38,26,647.8,115.04,107.03,8.00,25.89%,59.10%,57.92%,39.62%,14.34%,1.02,15.35%
155,"鶴巻 啓太
茨城 - SG/SF",30,39,633.2,100.83,112.05,-11.22,10.42%,33.08%,31.78%,43.93%,10.28%,2.15,13.71%
156,"トーマス・ウェルシュ
SR渋谷 - C",30,30,633.0,109.55,108.91,0.65,17.46%,56.82%,56.57%,0.00%,26.26%,2.08,7.83%
157,"セクー・ドゥムブヤ
越谷 - SF/PF",25,22,618.8,101.91,108.00,-6.09,33.61%,54.86%,51.62%,33.24%,26.18%,0.79,14.56%
158,"トーマス・ケネディ
三河 - SF/PF",39,39,618.4,119.97,111.36,8.61,21.25%,62.34%,59.61%,52.40%,17.90%,0.94,5.34%
159,"アリ・メザー
秋田 - PG",32,39,609.1,98.65,115.53,-16.88,23.32%,49.44%,47.09%,25.24%,12.62%,1.56,43.59%
160,"根本 大
三遠 - PG",23,37,608.8,114.46,109.53,4.93,16.75%,62.59%,60.65%,61.94%,18.71%,1.27,18.12%
161,"常田 耕平
滋賀 - PG",26,37,607.6,107.49,115.35,-7.86,10.73%,52.35%,52.03%,72.36%,5.69%,2.29,10.89%
162,"岡島 和真
仙台 - PG",22,37,606.7,108.74,110.16,-1.42,15.95%,39.99%,37.04%,58.02%,14.81%,2.56,24.57%
163,"古川 孝敏
京都 - SG/SF",38,32,604.7,99.57,113.35,-13.78,20.35%,53.71%,50.00%,48.73%,20.81%,1.23,12.51%
164,"木下 誠
大阪 - PG/SG",29,38,598.4,110.24,116.82,-6.58,17.96%,51.26%,50.00%,58.15%,12.50%,2.00,23.60%
165,"澁田 怜音
京都 - PG",27,34,598.3,99.40,117.77,-18.37,26.66%,46.96%,45.56%,52.51%,10.04%,2.00,28.02%
166,"小野寺 祥太
琉球 - PG/SG",31,39,595.0,120.16,106.64,13.52,11.28%,50.90%,49.61%,72.87%,4.65%,4.14,20.45%
167,"市場 脩斗
北海道 - PG/SG",23,39,590.4,122.23,116.83,5.40,19.96%,53.53%,47.47%,48.88%,49.44%,1.19,16.80%
168,"宮本 一樹
富山 - SF/PF",26,39,586.2,106.43,118.23,-11.80,11.95%,42.41%,39.93%,82.09%,18.66%,1.62,7.54%
169,"須田 侑太郎
三河 - SG/SF",34,37,582.0,123.61,109.31,14.30,14.64%,56.34%,54.75%,73.42%,6.33%,2.50,11.69%
170,"河田 チリジ
三遠 - C",36,38,580.3,110.50,109.38,1.12,14.25%,52.22%,48.21%,0.00%,54.46%,0.47,6.45%
171,"トレイ・ジョーンズ
群馬 - SF",35,23,578.4,119.92,108.38,11.54,23.39%,62.54%,58.73%,48.58%,26.42%,2.51,30.16%
172,"野本 大智
滋賀 - PG",27,31,571.9,103.94,115.84,-11.90,20.89%,51.78%,47.89%,46.84%,26.84%,1.90,32.89%
173,"鈴木 達也
大阪 - PG",35,39,556.6,109.37,110.59,-1.23,15.14%,56.18%,55.56%,60.74%,24.44%,3.25,35.66%
174,"竹内 譲次
大阪 - C/PF",41,39,553.1,102.48,115.26,-12.77,13.52%,51.29%,44.12%,24.51%,52.94%,1.22,13.46%
175,"山崎 稜
広島 - SG",33,39,546.0,115.64,116.43,-0.79,11.73%,47.98%,45.34%,85.59%,13.56%,1.20,4.45%
176,"髙比良 寛治
秋田 - SG",32,39,545.0,98.80,120.18,-21.37,11.48%,50.37%,49.53%,59.81%,13.08%,2.23,11.21%
177,"西田 陽成
滋賀 - SG",24,35,543.1,110.47,113.32,-2.84,13.71%,50.44%,48.44%,69.53%,15.63%,1.04,9.90%
178,"キング 開
横浜BC - PG/SG",26,39,542.4,108.46,118.94,-10.48,15.57%,47.56%,45.95%,33.11%,14.86%,1.76,11.42%
